,tdate,close_0,symbol_0,close_1,symbol_1,close_2,symbol_2,close_3,symbol_3,close_4,symbol_4,close_5,symbol_5
1330,2005/2/9,72.25,2,106.0,2,14.0,2,4.45,2.0,70.25,2,23.6,2
1331,2005/2/10,72.25,2,106.0,2,14.0,2,4.45,2.0,70.25,2,23.6,2
1332,2005/2/11,72.25,2,106.0,2,14.0,2,4.45,2.0,70.25,2,23.6,2
1333,2005/2/14,73.75,0,107.0,2,14.25,0,4.6,0.0,71.25,0,23.8,2
1334,2005/2/15,73.5,2,106.5,2,14.35,2,4.62,2.0,70.75,2,23.65,2
1335,2005/2/16,73.5,2,106.5,2,14.3,2,4.6,2.0,71.0,2,23.6,2
1336,2005/2/17,73.25,2,106.0,2,14.35,2,4.68,0.0,70.25,1,23.5,2
1337,2005/2/18,74.75,0,106.5,2,14.45,2,4.62,1.0,71.0,0,23.7,2
1338,2005/2/21,74.75,2,106.5,2,14.5,2,4.68,0.0,71.0,2,23.8,2
1339,2005/2/22,74.25,2,106.0,2,14.5,2,4.7,2.0,70.75,2,23.7,2
1340,2005/2/23,73.5,1,106.5,2,14.25,1,4.65,1.0,69.75,1,23.75,2
1341,2005/2/24,74.0,2,106.5,2,14.35,2,4.68,2.0,70.25,2,23.8,2
1342,2005/2/25,74.25,2,107.0,2,14.45,2,4.8,0.0,70.5,2,23.75,2
1343,2005/2/28,74.5,2,107.0,2,14.35,2,4.93,0.0,70.5,2,23.7,2
1344,2005/3/1,73.75,1,106.5,2,14.3,2,4.93,2.0,70.25,2,23.7,2
1345,2005/3/2,71.75,1,106.5,2,14.2,2,4.72,1.0,69.25,1,23.55,2
1346,2005/3/3,71.5,2,106.5,2,14.05,1,4.75,2.0,69.5,2,23.6,2
1347,2005/3/4,70.75,1,105.5,2,13.85,1,4.72,2.0,68.5,1,23.55,2
1348,2005/3/7,70.0,1,105.5,2,13.9,2,4.82,0.0,67.0,1,23.75,2
1349,2005/3/8,70.5,2,106.0,2,13.95,2,4.95,0.0,67.0,2,23.75,2
1350,2005/3/9,71.25,0,106.5,2,14.2,0,4.97,2.0,68.5,0,23.9,2
1351,2005/3/10,70.75,2,106.5,2,14.25,2,4.93,2.0,67.75,1,22.9,1
1352,2005/3/11,71.0,2,107.0,2,14.45,0,4.85,1.0,68.0,2,23.0,2
1353,2005/3/14,70.75,2,105.0,1,14.4,2,4.9,0.0,68.0,2,22.9,2
1354,2005/3/15,70.0,1,105.0,2,14.3,2,4.9,2.0,67.0,1,22.8,2
1355,2005/3/16,71.0,0,105.0,2,15.05,0,4.95,0.0,67.5,2,23.0,2
1356,2005/3/17,71.75,0,104.5,2,14.85,1,4.93,2.0,67.5,2,22.85,2
1357,2005/3/18,71.5,2,104.5,2,14.9,2,5.05,0.0,67.5,2,22.85,2
1358,2005/3/21,71.5,2,104.5,2,14.8,2,5.1,2.0,67.75,2,22.85,2
1359,2005/3/22,70.75,1,105.0,2,14.7,2,4.95,1.0,67.75,2,22.8,2
1360,2005/3/23,70.0,1,104.0,2,14.6,2,4.82,1.0,66.5,1,22.6,2
1361,2005/3/24,69.25,1,104.0,2,14.55,2,4.78,2.0,66.5,2,22.65,2
1362,2005/3/25,69.25,2,104.0,2,14.55,2,4.78,2.0,66.5,2,22.65,2
1363,2005/3/28,69.25,2,104.0,2,14.55,2,4.78,2.0,66.5,2,22.65,2
1364,2005/3/29,68.0,1,103.0,2,14.55,2,4.8,2.0,65.75,1,22.45,2
1365,2005/3/30,68.75,0,103.0,2,14.6,2,4.85,0.0,66.0,2,22.4,2
1366,2005/3/31,69.0,2,103.0,2,14.7,2,4.85,2.0,66.25,2,22.45,2
1367,2005/4/1,69.5,2,103.5,2,14.55,1,5.0,0.0,66.75,2,22.65,2
1368,2005/4/4,70.0,2,103.5,2,14.5,2,5.1,0.0,67.75,0,22.6,2
1369,2005/4/5,70.0,2,103.5,2,14.5,2,5.1,2.0,67.75,2,22.6,2
1370,2005/4/6,70.25,2,103.5,2,14.5,2,4.97,1.0,68.25,2,22.6,2
1371,2005/4/7,70.5,2,103.0,2,14.65,0,5.0,2.0,68.5,2,22.65,2
1372,2005/4/8,71.0,2,103.5,2,14.75,2,5.0,2.0,68.75,2,22.65,2
1373,2005/4/11,71.5,2,104.0,2,14.7,2,4.95,2.0,68.75,2,22.65,2
1374,2005/4/12,71.25,2,104.0,2,14.75,2,4.93,2.0,68.75,2,22.6,2
1375,2005/4/13,72.0,0,104.0,2,14.75,2,4.9,2.0,69.25,2,22.7,2
1376,2005/4/14,72.5,2,104.5,2,14.65,2,4.82,1.0,69.5,2,22.7,2
1377,2005/4/15,72.0,2,103.5,2,14.6,2,4.78,2.0,68.75,1,22.7,2
1378,2005/4/18,70.75,1,102.0,1,14.4,1,4.7,1.0,67.25,1,22.45,1
1379,2005/4/19,70.75,2,102.5,2,14.5,2,4.78,0.0,67.5,2,22.45,2
1380,2005/4/20,70.5,2,103.5,2,14.65,0,4.82,2.0,67.25,2,22.4,2
1381,2005/4/21,71.0,2,103.0,2,14.7,2,4.85,2.0,68.25,0,22.5,2
1382,2005/4/22,72.0,0,104.5,0,14.75,2,4.78,1.0,68.5,2,22.75,0
1383,2005/4/25,72.25,2,104.5,2,14.75,2,4.78,2.0,69.25,0,22.75,2
1384,2005/4/26,73.0,0,105.5,2,14.75,2,4.88,0.0,69.75,2,22.8,2
1385,2005/4/27,73.25,2,106.0,2,14.65,2,4.82,1.0,69.75,2,22.85,2
1386,2005/4/28,73.25,2,106.5,2,14.8,0,4.8,2.0,70.0,2,22.95,2
1387,2005/4/29,73.25,2,106.5,2,14.8,2,4.65,1.0,69.5,2,22.85,2
1388,2005/5/2,73.25,2,106.5,2,14.8,2,4.65,2.0,69.5,2,22.85,2
1389,2005/5/3,73.25,2,106.0,2,14.85,2,4.68,2.0,69.75,2,22.9,2
1390,2005/5/4,73.5,2,106.0,2,14.5,1,4.7,2.0,70.25,2,22.95,2
1391,2005/5/5,73.75,2,106.5,2,14.5,2,4.78,0.0,70.5,2,23.0,2
1392,2005/5/6,74.0,2,106.5,2,14.45,2,4.75,2.0,70.0,2,23.1,2
1393,2005/5/9,74.25,2,106.0,2,14.45,2,4.8,0.0,70.5,2,23.15,2
1394,2005/5/10,72.75,1,106.0,2,14.4,2,4.85,0.0,69.0,1,22.9,1
1395,2005/5/11,71.75,1,105.0,2,14.35,2,4.88,2.0,68.25,1,22.85,2
1396,2005/5/12,72.25,2,105.0,2,14.4,2,4.88,2.0,68.75,2,22.8,2
1397,2005/5/13,71.75,2,105.0,2,14.5,2,4.78,1.0,68.0,1,22.75,2
1398,2005/5/16,71.75,2,105.0,2,14.5,2,4.78,2.0,68.0,2,22.75,2
1399,2005/5/17,71.0,1,104.5,2,14.45,2,4.72,1.0,67.25,1,22.35,1
1400,2005/5/18,70.5,2,104.5,2,14.4,2,4.75,2.0,67.25,2,22.4,2
1401,2005/5/19,70.25,2,105.5,2,14.5,2,4.78,2.0,67.25,2,22.55,2
1402,2005/5/20,70.0,2,105.5,2,14.45,2,4.85,0.0,67.0,2,22.65,2
1403,2005/5/23,70.0,2,105.0,2,14.4,2,4.78,1.0,67.0,2,22.7,2
1404,2005/5/24,70.25,2,105.5,2,14.25,1,4.82,2.0,67.25,2,22.75,2
1405,2005/5/25,69.25,1,105.0,2,14.05,1,4.85,2.0,66.5,1,22.65,2
1406,2005/5/26,69.25,2,103.5,1,14.05,2,4.85,2.0,66.5,2,22.55,2
1407,2005/5/27,70.0,0,104.5,2,14.25,0,4.93,0.0,67.0,2,22.75,2
1408,2005/5/30,71.5,0,105.0,2,14.3,2,4.95,2.0,67.5,2,22.8,2
1409,2005/5/31,71.25,2,104.5,2,14.1,1,5.0,0.0,67.75,2,22.85,2
1410,2005/6/1,71.75,2,104.0,2,14.1,2,4.95,2.0,68.75,0,22.8,2
